"input__destination","input__duration","input__interests__001","input__interests__002","input__interests__003","input__interests__004","input__interests__005","output__optimized_itinerary__state","output__optimized_itinerary__days__day","output__optimized_itinerary__days__morning","output__optimized_itinerary__days__afternoon","output__optimized_itinerary__days__evening"
"Bodh Gaya","2","buddhism","spirituality","history","","","","1","Visit the Mahabodhi Temple and the Bodhi Tree","Explore various monasteries built by different countries","Meditation session"
"","","","","","","","","2","Visit the Great Buddha Statue","Explore the archaeological museum","Departure"
"Pushkar","2","Spiritual","Culture","Shopping","","","","1","Visit the Brahma Temple, the only one in the world","Explore the Pushkar Lake and its 52 bathing ghats","Walk through the main Pushkar market for shopping"
"","","","","","","","","2","Hike to Savitri Temple for panoramic views","Camel ride in the nearby desert landscape","Attend the evening aarti at the ghats"
"Spiti Valley","8","Adventure","Nature","Photography","Culture","","","1","Travel from Manali to Kaza","Acclimatize in Kaza","Explore Kaza market"
"","","","","","","","","2","Visit the iconic Key Monastery","Explore the villages of Kibber and Chicham","Stargazing in Kaza"
"","","","","","","","","3","Drive to Langza, famous for its Buddha statue","Visit Hikkim, home to the world's highest post office","Homestay experience in Komic, one of the world's highest villages"
"","","","","","","","","4","Travel to Tabo","Explore Tabo Monastery, a UNESCO World Heritage site","Relax in Tabo"
"","","","","","","","","5","Visit Dhankar Monastery, perched on a cliff","Hike to Dhankar Lake","Return to Kaza"
"","","","","","","","","6","Explore the Pin Valley National Park","Visit the village of Mudh","Cultural interaction with locals"
"","","","","","","","","7","Drive towards Chandratal Lake","Camping near Chandratal Lake","Enjoy the pristine beauty of the lake"
"","","","","","","","","8","Travel back to Manali via Rohtang Pass","Journey back","Arrive in Manali"
"Dharamshala & Mcleodganj","3","Spiritual","Nature","Culture","Food","","","1","Explore Mcleodganj main square and visit the Dalai Lama Temple (Tsuglagkhang Complex)","Walk to Bhagsu Nag Temple and waterfall","Enjoy dinner at a Tibetan restaurant"
"","","","","","","","","2","Trek to Triund (9km, 4-5 hours)","Enjoy the stunning views of the Dhauladhar range","Camping under the stars at Triund"
"","","","","","","","","3","Trek down from Triund","Visit the Norbulingka Institute and Dharamshala Cricket Stadium","Explore the cafes of Dharamkot"
"Gokarna","3","Beach","Nature","Spiritual","Adventure","","","1","Arrive in Gokarna and check into a beach hut","Relax at the main Gokarna Beach","Visit Mahabaleshwar Temple"
"","","","","","","","","2","Beach trek from Kudle Beach to Om Beach","Continue trek to Half Moon Beach and Paradise Beach","Enjoy the sunset from a cliff-side cafe at Om Beach"
"","","","","","","","","3","Try surfing or other water sports","Explore the local market","Relax and enjoy the coastal vibe"
"Coorg (Kodagu)","3","Nature","Photography","Food","Culture","","","1","Arrive in Madikeri and visit Raja's Seat for panoramic views","Explore Abbey Falls","Walk through a coffee plantation"
"","","","","","","","","2","Visit the Dubare Elephant Camp for an elephant interaction","Explore the Namdroling Monastery (Golden Temple) in Bylakuppe","Enjoy traditional Kodava cuisine"
"","","","","","","","","3","Drive to Talakaveri, the source of the river Kaveri","Visit Mandalpatti viewpoint for breathtaking views","Shopping for local spices and coffee"
"Hyderabad","3","History","Food","Shopping","Culture","","","1","Explore the iconic Charminar and the bustling Laad Bazaar","Visit the grand Chowmahalla Palace","Enjoy authentic Hyderabadi Biryani for dinner"
"","","","","","","","","2","Visit the magnificent Golconda Fort","Explore the Qutb Shahi Tombs","Light and Sound show at Golconda Fort"
"","","","","","","","","3","Visit the Salar Jung Museum","Relax at Hussain Sagar Lake and see the Buddha statue","Explore the modern side of Hyderabad: HITEC City and GVK One Mall"
"Ahmedabad","2","History","Culture","Food","","","","1","Take a heritage walk through the old city's Pols","Visit the Sabarmati Ashram","Explore the night market at Manek Chowk"
"","","","","","","","","2","Visit the Adalaj Stepwell","Explore the Calico Museum of Textiles","Enjoy the riverfront at Sabarmati Riverfront"
"Port Blair","3","History","Beach","Nature","","","","1","Arrive and check in, visit Corbyn's Cove Beach","Explore the Cellular Jail (Kala Pani)","Attend the Sound and Light Show at the Cellular Jail"
"","","","","","","","","2","Ferry to Ross Island to see British-era ruins","Ferry to North Bay Island for snorkeling and coral viewing","Shopping for souvenirs at Aberdeen Bazaar"
"","","","","","","","","3","Visit Chidiya Tapu for bird watching and sunset views","Explore the Samudrika Naval Marine Museum","Relax and prepare for departure"
"Havelock Island (Swaraj Dweep)","3","Beach","Adventure","Photography","Nature","","","1","Arrive by ferry from Port Blair","Check in and relax at your resort","Visit Radhanagar Beach (Beach No. 7) for a spectacular sunset"
"","","","","","","","","2","Scuba diving or sea walking at Elephant Beach","Snorkeling and exploring the corals at Elephant Beach","Dinner at a seaside restaurant"
"","","","","","","","","3","Visit Kalapathar Beach for sunrise","Kayaking through the mangroves","Relax on the beach before departing the next day"
"Auli","4","Adventure","Nature","Photography","Winter Sports","","","1","Travel from Rishikesh/Haridwar to Joshimath","Rest in Joshimath","Explore Joshimath town"
"","","","","","","","","2","Take the cable car (gondola) from Joshimath to Auli","Check in and enjoy the panoramic views of Himalayan peaks like Nanda Devi","Stroll around Auli's meadows"
"","","","","","","","","3","Skiing lessons and practice on the slopes","Trek to Gorson Bugyal for even better views","Bonfire and dinner"
"","","","","","","","","4","Visit Auli Artificial Lake","Take the cable car back to Joshimath","Begin return journey"
"Thekkady (Periyar National Park)","2","Nature","Wildlife","Adventure","Food","","","1","Arrive in Thekkady (Kumily) and check in","Boat safari on Periyar Lake to spot wildlife","Watch a traditional Kathakali or Kalaripayattu performance"
"","","","","","","","","2","Go for a guided jungle trek or nature walk","Visit a spice plantation and learn about local spices","Shopping for spices and local handicrafts"
"Varkala","3","Beach","Spiritual","Food","Photography","","","1","Arrive in Varkala, check in to a cliff-side hotel","Descend to Varkala Beach (Papanasam Beach)","Explore the shops and cafes along the North Cliff"
"","","","","","","","","2","Visit the 2000-year-old Janardanaswamy Temple","Take a dip in the holy waters of the beach","Enjoy a fresh seafood dinner watching the sunset from the cliff"
"","","","","","","","","3","Yoga or Ayurveda session","Visit Kappil Beach and Backwaters","Relax and enjoy the bohemian vibe"
"Lucknow","2","History","Food","Culture","","","","1","Explore Bara Imambara and its Bhulbhulaiya (labyrinth)","Visit the Chota Imambara","Food walk in the old city for kebabs and biryani"
"","","","","","","","","2","Visit the British Residency, a key site of the 1857 revolt","Explore Hazratganj for shopping and modern Lucknow","Enjoy a cup of famous Lucknowi tea and street food"
"Orchha","2","History","Architecture","Photography","Spiritual","","","1","Explore the Orchha Fort complex, including Jahangir Mahal and Raja Mahal","Visit the Chaturbhuj Temple","Watch the sunset over the cenotaphs (Chhatris) by the Betwa River"
"","","","","","","","","2","Visit the Ram Raja Temple, where Rama is worshipped as a king","Explore the Laxminarayan Temple, known for its murals","Enjoy the tranquil riverside ambiance"
"Pune","2","History","Food","Nightlife","Culture","","","1","Explore the Shaniwar Wada, the seat of the Peshwas","Visit the Aga Khan Palace, where Mahatma Gandhi was imprisoned","Explore the vibrant nightlife and food scene in Koregaon Park"
"","","","","","","","","2","Hike to Sinhagad Fort for history and panoramic views","Visit the Dagdusheth Halwai Ganpati Temple","Food tour on FC Road and JM Road"
"Great Rann of Kutch","3","Nature","Culture","Photography","Shopping","","","1","Arrive in Bhuj, explore Aina Mahal and Prag Mahal","Travel to a tent city or resort near the White Rann","Witness the sunset over the salt desert"
"","","","","","","","","2","Experience the sunrise at the White Rann","Visit Kalo Dungar (Black Hill) for a panoramic view of the Rann","Enjoy a cultural program with folk music and dance"
"","","","","","","","","3","Visit nearby handicraft villages like Nirona (Rogan Art) and Hodka","Shopping for local crafts in Bhuj","Departure from Bhuj"
"Mahabalipuram","2","History","Architecture","Beach","Photography","","","1","Explore the Shore Temple, a UNESCO World Heritage site","Visit the Pancha Rathas (Five Rathas)","Relax at Mahabalipuram Beach"
"","","","","","","","","2","Explore Arjuna's Penance and Krishna's Butterball","Visit the various cave temples and the lighthouse","Shopping for stone sculptures and local crafts"
"Wayanad","3","Nature","Adventure","Photography","History","","","1","Arrive in Wayanad, visit Pookode Lake for boating","Explore the Lakkidi View Point","Check into a treehouse resort"
"","","","","","","","","2","Trek to Chembra Peak (heart-shaped lake on the way)","Visit Soochipara Falls","Relax and enjoy the natural surroundings"
"","","","","","","","","3","Explore the Edakkal Caves with ancient petroglyphs","Visit the Wayanad Heritage Museum","Drive to Banasura Sagar Dam, the largest earthen dam in India"
"Kasol","3","Nature","Adventure","Food","Photography","","","1","Arrive in Kasol, check in and relax","Take a walk along the Parvati River","Explore the cafes of Kasol and try Israeli food"
"","","","","","","","","2","Trek to the village of Chalal","Continue the trek to Katagla","Bonfire and music by the river"
"","","","","","","","","3","Day trip to Manikaran Sahib Gurudwara and its hot springs","Explore the village of Tosh","Return to Kasol for departure"
"Ziro Valley","4","Culture","Nature","Photography","Music","","","1","Travel from Guwahati/Itanagar to Ziro","Check in and acclimatize","Stroll through the local market in Hapoli"
"","","","","","","","","2","Explore the villages of the Apatani tribe, like Hong and Hari","Learn about the unique Apatani culture and see the facial tattoos","Interact with the local community"
"","","","","","","","","3","Visit the Talley Valley Wildlife Sanctuary","Explore the vast paddy-cum-fish farms","Enjoy local cuisine and rice beer"
"","","","","","","","","4","Visit the Shiv Linga at Kardo Forest","Photography walk through the pine groves","Relax before the journey back"
"Cherrapunji (Sohra)","3","Nature","Adventure","Photography","","","","1","Travel from Shillong to Cherrapunji","Visit the Nohkalikai Falls, the tallest plunge waterfall in India","Explore the Mawsmai Caves"
"","","","","","","","","2","Trek to the Double Decker Living Root Bridge in Nongriat village","Swim in the natural pools near the bridge","Hike back up or stay overnight in Nongriat"
"","","","","","","","","3","Visit the Seven Sisters Falls and Dainthlen Falls","Explore the Arwah Caves","Return to Shillong or Guwahati"
"Gulmarg","3","Adventure","Nature","Photography","Winter Sports","","","1","Arrive from Srinagar and check in","Take the Gulmarg Gondola (Phase 1) to Kongdoori","Walk through the meadows and explore the local market"
"","","","","","","","","2","Take the Gondola (Phase 2) to Apharwat Peak for stunning views","Skiing/snowboarding in winter or hiking in summer","Relax and enjoy the alpine atmosphere"
"","","","","","","","","3","Visit St. Mary's Church and the Maharani Temple","Enjoy a round of golf at the highest golf course in the world (in summer)","Departure for Srinagar"
"Bikaner","2","History","Culture","Food","","","","1","Explore the magnificent Junagarh Fort","Visit the Lalgarh Palace and Museum","Walk through the old city and try local snacks like Bikaneri Bhujia"
"","","","","","","","","2","Visit the Karni Mata Temple (Rat Temple) in Deshnoke","Explore the National Research Centre on Camel","Enjoy a traditional Rajasthani dinner"
"Gwalior","2","History","Architecture","Music","","","","1","Explore the massive Gwalior Fort","Visit Man Singh Palace, Gujari Mahal, and Saas Bahu Temples within the fort","Attend the Sound and Light show at the fort"
"","","","","","","","","2","Visit Jai Vilas Palace Museum, known for its opulent Durbar Hall","Explore the tomb of Tansen, the legendary musician","Listen to a classical music performance if available"
"Bhopal","3","History","Nature","Culture","","","","1","Explore the Upper Lake and Lower Lake","Visit Taj-ul-Masajid, one of the largest mosques in India","Walk through the old city's bazaars"
"","","","","","","","","2","Day trip to the Sanchi Stupas, a UNESCO World Heritage site","Explore the Buddhist monuments and the museum","Return to Bhopal"
"","","","","","","","","3","Day trip to Bhimbetka Rock Shelters, another UNESCO site with prehistoric paintings","Explore the ancient rock art","Relax by the lake in Bhopal"
"Nashik","2","Spiritual","Food","Nature","","","","1","Visit the temples and ghats along the Godavari River, like Ramkund","Explore the Pandavleni Caves","Visit a vineyard like Sula or York for a wine tasting tour"
"","","","","","","","","2","Visit the Trimbakeshwar Shiva Temple, one of the 12 Jyotirlingas","Explore the area around Trimbakeshwar","Enjoy the sunset from a vineyard restaurant"
"Dwarka","2","Spiritual","History","Beach","","","","1","Visit the main Dwarkadhish Temple (Jagat Mandir)","Take a holy dip in the Gomti River at Gomti Ghat","Attend the evening aarti at Dwarkadhish Temple"
"","","","","","","","","2","Take a ferry to Bet Dwarka island to visit more temples","Visit the Nageshwar Jyotirlinga Temple on the way back","Relax at Dwarka Beach"
"Somnath","1","Spiritual","History","Beach","","","","1","Visit the Somnath Temple, the first of the 12 Jyotirlingas","Explore the nearby Bhalka Tirth, where Lord Krishna is said to have left his mortal form","Attend the evening Sound and Light Show at Somnath Temple and watch the sunset"
